,duration,emp.var.rate,euribor3m,nr.employed,pdays,poutcome_success,previous,y_yes
0,261,1.1,4.857,5191.0,999,0,0,0
1,149,1.1,4.857,5191.0,999,0,0,0
2,226,1.1,4.857,5191.0,999,0,0,0
3,151,1.1,4.857,5191.0,999,0,0,0
4,307,1.1,4.857,5191.0,999,0,0,0
5,198,1.1,4.857,5191.0,999,0,0,0
6,139,1.1,4.857,5191.0,999,0,0,0
7,217,1.1,4.857,5191.0,999,0,0,0
8,380,1.1,4.857,5191.0,999,0,0,0
9,50,1.1,4.857,5191.0,999,0,0,0
10,55,1.1,4.857,5191.0,999,0,0,0
11,222,1.1,4.857,5191.0,999,0,0,0
12,137,1.1,4.857,5191.0,999,0,0,0
13,293,1.1,4.857,5191.0,999,0,0,0
14,146,1.1,4.857,5191.0,999,0,0,0
15,174,1.1,4.857,5191.0,999,0,0,0
16,312,1.1,4.857,5191.0,999,0,0,0
17,440,1.1,4.857,5191.0,999,0,0,0
18,353,1.1,4.857,5191.0,999,0,0,0
19,195,1.1,4.857,5191.0,999,0,0,0
20,38,1.1,4.857,5191.0,999,0,0,0
21,262,1.1,4.857,5191.0,999,0,0,0
22,342,1.1,4.857,5191.0,999,0,0,0
23,181,1.1,4.857,5191.0,999,0,0,0
24,172,1.1,4.857,5191.0,999,0,0,0
25,99,1.1,4.857,5191.0,999,0,0,0
26,93,1.1,4.857,5191.0,999,0,0,0
27,233,1.1,4.857,5191.0,999,0,0,0
28,255,1.1,4.857,5191.0,999,0,0,0
29,362,1.1,4.857,5191.0,999,0,0,0
30,348,1.1,4.857,5191.0,999,0,0,0
31,386,1.1,4.857,5191.0,999,0,0,0
32,73,1.1,4.857,5191.0,999,0,0,0
33,230,1.1,4.857,5191.0,999,0,0,0
34,208,1.1,4.857,5191.0,999,0,0,0
35,336,1.1,4.857,5191.0,999,0,0,0
36,365,1.1,4.857,5191.0,999,0,0,0
37,1666,1.1,4.857,5191.0,999,0,0,0
38,577,1.1,4.857,5191.0,999,0,0,0
39,137,1.1,4.857,5191.0,999,0,0,0
40,366,1.1,4.857,5191.0,999,0,0,0
41,314,1.1,4.857,5191.0,999,0,0,0
42,160,1.1,4.857,5191.0,999,0,0,0
43,212,1.1,4.857,5191.0,999,0,0,0
